Cycle 	Algorithm (optimal length) 	Case Name
(URB LDF FDR) 	F U2 F' D' F U2 F' D (8 HTM) 	Toss Up
(URB LDF RUF) 	U2 B2 D2 B U2 B' D2 B U2 B U2 (11 HTM) 	Columns
(URB LDF RFD) 	L2 B L F2 L' B' L F2 L (9 HTM) 	A9
(URB LDF RDB) 	F U2 F' D2 F U2 F' D2 (8 HTM) 	Toss Up
(URB LDF BLU) 	R B2 R F' R' B2 R F R2 (9 HTM) 	A9
(URB LDF BRD) 	R' B L2 B' R B L2 B' (8 HTM) 	Drop and Catch
(URB LDF BDL) 	F U2 F' D F U2 F' D' (8 HTM) 	Toss Up
(URB LDF LUB) 	F' R2 F L2 F' R2 F L2 (8 HTM) 	Toss Up
(URB LDF LFU) 	F' R2 F L F' R2 F L' (8 HTM) 	Drop and Catch
(URB LDF LBD) 	F' R2 F L' F' R2 F L (8 HTM) 	Drop and Catch
(URB LDF DRF) 	R2 B L2 B' R2 B L2 B' (8 HTM) 	Drop and Catch
(URB LDF DLB) 	U B D2 B U' B' D2 B U B2 U' (11 HTM) 	Columns
(URB LDF DBR) 	U' B2 U' F U B2 U' F' U2 (9 HTM) 	A9
(URB DFL UBL) 	D R2 D' L2 D R2 D' L2 (8 HTM) 	Toss Up
(URB DFL ULF) 	R U L2 U R' U' L2 U R U2 R' (11 HTM) 	Columns
(URB DFL UFR) 	F2 R B R' F2 R B' R' (8 HTM) 	Direct Insert
(URB DFL FUL) 	D R2 D' L D R2 D' L' (8 HTM) 	Drop and Catch
(URB DFL FRU) 	R U' L2 U R' U' L2 U (8 HTM) 	Drop and Catch
(URB DFL FDR) 	L2 U' L' D2 L U L' D2 L' (9 HTM) 	A9
(URB DFL RUF) 	B U2 B D' B' U2 B D B2 (9 HTM) 	A9
(URB DFL RFD) 	D' B2 D F D' B2 D F' (8 HTM) 	Drop and Catch
(URB DFL RDB) 	R F' R' B' R F R' B (8 HTM) 	Drop and Catch
(URB DFL BLU) 	R' U2 R' D R U2 R' D' R2 (9 HTM) 	A9
(URB DFL BRD) 	R' U' L2 U R U' L2 U (8 HTM) 	Drop and Catch
(URB DFL BDL) 	D R2 D' L' D R2 D' L (8 HTM) 	Drop and Catch
(URB DFL LUB) 	B' U F2 U' B U F2 U' (8 HTM) 	Drop and Catch
(URB DFL LFU) 	F L' B L F' L' B' L (8 HTM) 	Drop and Catch
(URB DFL LBD) 	F2 U F D2 F' U' F D2 F (9 HTM) 	A9
